Year,Town,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Addison,Loss or None,14,24.0,8.0,5.0,1.0,0.0,-278054.0,0.0,0.0,0.0
2005,Addison,0.01 - 4999,68,43.0,4.0,61.0,0.0,3.0,182966.0,3805.0,3679.0,123.0
2005,Addison,5000 - 9999,71,67.0,10.0,60.0,0.0,1.0,533770.0,48472.0,48395.0,1747.0
2005,Addison,10000 - 14999,58,96.0,16.0,35.0,1.0,6.0,735853.0,154681.0,149346.0,4851.9497999999985
2005,Addison,15000 - 19999,47,81.0,18.0,27.0,0.0,2.0,829158.0,247130.0,246781.0,7773.6107
2005,Addison,20000 - 24999,44,75.0,13.0,22.0,2.0,7.0,984060.0,405538.0,402215.0,12673.8244
2005,Addison,25000 - 29999,52,90.0,18.0,27.0,3.0,4.0,1438424.0,694441.0,692505.0,24345.40600000001
2005,Addison,30000 - 34999,39,70.0,16.0,17.0,1.0,5.0,1252190.0,658236.0,646711.0,22671.04
2005,Addison,35000 - 39999,44,111.0,22.0,14.0,2.0,6.0,1656521.0,895372.0,870182.0,29149.1281
2005,Addison,40000 - 44999,33,72.0,16.0,12.0,1.0,4.0,1402201.0,819027.0,817760.0,27706.5652
2005,Addison,45000 - 49999,42,113.0,29.0,12.0,0.0,1.0,1980170.0,1162795.0,1131481.0,44047.0
2005,Addison,50000 - 59999,51,132.0,41.0,8.0,0.0,2.0,2798962.0,1795079.0,1737234.0,65238.124
2005,Addison,60000 - 74999,71,216.0,62.0,8.0,0.0,1.0,4727596.0,3179617.0,3100549.0,115735.2684
2005,Addison,75000 - 99999,56,165.0,53.0,3.0,0.0,0.0,4858604.0,3463745.0,3305302.0,132355.5684
2005,Addison,100000 - 149999,34,84.0,30.0,4.0,0.0,0.0,4069180.0,3074352.0,2888579.0,140446.068
2005,Addison,150000 +,12,29.0,10.0,2.0,0.0,0.0,4001696.0,3512845.0,3128442.0,164824.9608
2005,Albany,Loss or None,10,17.0,5.0,5.0,0.0,0.0,-91899.0,0.0,0.0,0.0
2005,Albany,0.01 - 4999,44,39.0,9.0,33.0,1.0,1.0,100137.0,2462.0,2462.0,88.0
2005,Albany,5000 - 9999,40,55.0,11.0,23.0,1.0,5.0,294903.0,18743.0,18743.0,682.913
2005,Albany,10000 - 14999,26,53.0,8.0,13.0,0.0,5.0,341979.0,61359.0,61359.0,2270.2290000000007
2005,Albany,15000 - 19999,40,83.0,20.0,16.0,1.0,3.0,713119.0,158333.0,155390.0,4770.6656
2005,Albany,20000 - 24999,41,88.0,20.0,18.0,0.0,3.0,914842.0,318175.0,317261.0,11448.0
2005,Albany,25000 - 29999,29,59.0,14.0,9.0,1.0,5.0,777825.0,341771.0,339936.0,12107.0
2005,Albany,30000 - 34999,23,49.0,11.0,7.0,0.0,5.0,741800.0,373559.0,369563.0,12754.0
2005,Albany,35000 - 39999,23,54.0,13.0,8.0,0.0,2.0,870981.0,449725.0,449725.0,15695.0
2005,Albany,40000 - 44999,26,61.0,15.0,9.0,0.0,2.0,1099887.0,627305.0,609421.0,22010.0
2005,Albany,45000 - 49999,19,46.0,14.0,3.0,1.0,1.0,900637.0,554116.0,546035.0,20182.0
2005,Albany,50000 - 59999,27,62.0,20.0,7.0,0.0,0.0,1471782.0,1001739.0,993994.0,39249.0
2005,Albany,60000 - 74999,22,59.0,19.0,3.0,0.0,0.0,1437099.0,997784.0,994584.0,37336.75
2005,Albany,75000 - 99999,18,59.0,18.0,0.0,0.0,0.0,1500649.0,1069662.0,1039819.0,43579.0
2005,Albany,100000 - 149999,12,30.0,11.0,1.0,0.0,0.0,1430922.0,1140364.0,1119038.0,60580.1453
2005,Albany,150000 +,*,,,,,,,,,
2005,Alburg,Loss or None,14,22.0,6.0,7.0,1.0,0.0,-382452.0,0.0,0.0,0.0
2005,Alburg,0.01 - 4999,103,97.0,12.0,84.0,1.0,6.0,300294.0,2588.0,2588.0,97.0
2005,Alburg,5000 - 9999,109,121.0,14.0,86.0,2.0,7.0,811287.0,69942.0,69934.0,2450.6502
2005,Alburg,10000 - 14999,85,148.0,19.0,49.0,2.0,15.0,1064365.0,210304.0,217867.0,7172.920800000001
2005,Alburg,15000 - 19999,76,133.0,24.0,43.0,1.0,8.0,1322410.0,406666.0,394053.0,13123.5204
2005,Alburg,20000 - 24999,90,175.0,32.0,39.0,1.0,18.0,2036363.0,800049.0,796061.0,25363.7115
2005,Alburg,25000 - 29999,86,180.0,35.0,36.0,2.0,13.0,2369154.0,1121547.0,1114908.0,37370.44
2005,Alburg,30000 - 34999,56,123.0,26.0,23.0,0.0,7.0,1831031.0,935469.0,932152.0,30456.2802
