Year,Town,Type,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Addison,Grand Total,736,1468.0,366.0,317.0,11.0,42.0,31173297.0,20115135.0,19169161.0,793688.5138000002
2005,Albany,Grand Total,400,814.0,208.0,155.0,5.0,32.0,12504663.0,7115097.0,7017330.0,282752.70290000003
2005,Alburg,Grand Total,1019,1942.0,458.0,454.0,16.0,91.0,40643827.0,26574454.0,25905510.0,1094373.5385
2005,Andover,Grand Total,229,415.0,114.0,96.0,9.0,10.0,10552376.0,7259167.0,6864776.0,301064.8339
2005,Arlington,Grand Total,1325,2338.0,532.0,659.0,23.0,111.0,58300040.0,39194579.0,36738356.0,1660356.4406999997
2005,Athens,Grand Total,160,314.0,70.0,66.0,2.0,22.0,5247720.0,2965774.0,2876294.0,100524.26199999999
2005,Bakersfield,Grand Total,560,1219.0,295.0,213.0,6.0,46.0,23502503.0,14909594.0,14611257.0,604792.9579999999
2005,Baltimore,Grand Total,111,225.0,60.0,44.0,1.0,6.0,4276269.0,2637240.0,2618386.0,105893.0417
2005,Barnard,Grand Total,456,847.0,224.0,190.0,19.0,23.0,41176497.0,32354242.0,24825263.0,1250985.3146000002
2005,Barnet,Grand Total,802,1595.0,382.0,336.0,16.0,68.0,33733451.0,22998161.0,21783177.0,981588.7733
2005,Barre City,Grand Total,4444,7734.0,1418.0,2392.0,80.0,554.0,147305101.0,92768870.0,91045997.0,3757827.153500002
2005,Barre Town,Grand Total,4026,7948.0,1979.0,1673.0,40.0,334.0,201673481.0,138571762.0,134786032.0,6551148.341100003
2005,Barton,Grand Total,928,1725.0,371.0,455.0,19.0,83.0,28240800.0,16816416.0,16426426.0,669248.63
2005,Belvidere,Grand Total,143,274.0,64.0,68.0,2.0,9.0,5918079.0,3808601.0,3380327.0,153288.34150000007
2005,Bennington,Grand Total,6890,12475.0,2433.0,3522.0,106.0,829.0,276829638.0,185625180.0,173812498.0,7783433.844699997
2005,Benson,Grand Total,455,928.0,222.0,180.0,2.0,51.0,16721663.0,10390833.0,10062883.0,418719.5376
2005,Berkshire,Grand Total,617,1363.0,322.0,236.0,5.0,54.0,25059243.0,15913403.0,15579520.0,687054.9603999999
2005,Berlin,Grand Total,1313,2418.0,548.0,626.0,17.0,122.0,60795488.0,41809627.0,40898506.0,1993432.3618000003
2005,Bethel,Grand Total,1018,1902.0,437.0,472.0,11.0,98.0,37416288.0,23385218.0,23096188.0,964410.6222
2005,Bloomfield,Grand Total,96,195.0,41.0,42.0,2.0,11.0,2944710.0,1721984.0,1715776.0,67445.12
2005,Bolton,Grand Total,568,1075.0,241.0,269.0,11.0,47.0,26747514.0,17901236.0,17779672.0,773598.6176
2005,Bradford,Grand Total,1354,2511.0,525.0,654.0,24.0,151.0,54763548.0,36531505.0,34503856.0,1603272.6447
2005,Braintree,Grand Total,605,1151.0,268.0,267.0,9.0,61.0,21138915.0,13467306.0,13191816.0,565606.8006
2005,Brandon,Grand Total,1975,3715.0,870.0,929.0,24.0,152.0,75500657.0,48198165.0,47115121.0,2034639.1163
2005,Brattleboro,Grand Total,6088,10487.0,1941.0,3368.0,118.0,661.0,258897786.0,177014205.0,165410329.0,7960302.844199995
2005,Bridgewater,Grand Total,496,895.0,221.0,241.0,4.0,30.0,23334217.0,15387331.0,13891510.0,641944.0523999999
2005,Bridport,Grand Total,616,1212.0,296.0,263.0,13.0,44.0,26793604.0,18381771.0,17648149.0,690454.8414
2005,Brighton,Grand Total,548,1022.0,218.0,267.0,6.0,57.0,14482615.0,7860969.0,7665094.0,288738.6884
2005,Bristol,Grand Total,1990,3709.0,768.0,1004.0,40.0,178.0,76091870.0,48788980.61,47569604.61,2003223.2149
2005,Brookfield,Grand Total,573,1216.0,319.0,207.0,5.0,42.0,31388194.0,21484999.72,19868938.72,999704.1567
2005,Brookline,Grand Total,240,466.0,111.0,113.0,1.0,15.0,10073295.0,6507230.0,6201594.0,258577.1912
2005,Brownington,Grand Total,411,842.0,184.0,183.0,4.0,40.0,11897571.0,6671667.0,6594045.0,247270.4508
2005,Brunswick,Grand Total,48,93.0,24.0,22.0,0.0,2.0,1207072.0,612083.0,591347.0,21508.772
2005,Burke,Grand Total,832,1600.0,367.0,370.0,14.0,81.0,33670075.0,22313640.0,21609901.0,1025676.9803000002
2005,Burlington,Grand Total,17631,27298.0,4533.0,11479.0,274.0,1345.0,766714113.0,539141289.0,510926773.0,24482271.70279996
2005,Cabot,Grand Total,592,1215.0,293.0,250.0,7.0,42.0,28124649.0,18909674.0,16806067.0,647519.8149000002
2005,Calais,Grand Total,832,1568.0,374.0,380.0,15.0,63.0,54067642.0,39116456.0,34151209.0,2058704.5604
2005,Cambridge,Grand Total,1751,3351.0,777.0,809.0,32.0,133.0,75388081.0,48993496.0,48132972.0,2071555.8025
2005,Canaan,Grand Total,459,933.0,227.0,180.0,3.0,49.0,14771224.0,8858170.0,8660015.0,337739.9699
2005,Castleton,Grand Total,1877,3419.0,803.0,906.0,19.0,149.0,76279903.0,50121943.0,48905861.0,2110154.5555
2005,Cavendish,Grand Total,613,1148.0,272.0,290.0,10.0,41.0,24827073.0,16292358.0,15341315.0,658316.8259
2005,Charleston,Grand Total,473,907.0,221.0,206.0,9.0,37.0,13870059.0,8049371.0,7722144.0,308894.0969
2005,Charlotte,Grand Total,1786,3695.0,921.0,759.0,17.0,89.0,230792593.0,178236224.0,166497158.0,11521161.754700005
2005,Chelsea,Grand Total,602,1125.0,266.0,283.0,11.0,42.0,22334309.0,14559932.0,14100801.0,621512.4863999999
2005,Chester,Grand Total,1638,3098.0,695.0,779.0,25.0,139.0,63099423.98,41318690.98,39696594.98,1793299.2779
2005,Chittenden,Grand Total,811,1543.0,348.0,386.0,18.0,59.0,42346071.0,28987247.0,28070062.0,1293028.1906
2005,Clarendon,Grand Total,1363,2561.0,600.0,638.0,29.0,96.0,55658450.0,36603827.0,35884265.0,1649549.5342999997
2005,Colchester,Grand Total,7884,14654.0,3244.0,3853.0,110.0,677.0,481762681.05,344764498.0,317307236.0,16281854.455999998
2005,Concord,Grand Total,544,1083.0,250.0,241.0,12.0,41.0,17532867.0,10107888.0,9997558.0,382639.2028
2005,Corinth,Grand Total,656,1288.0,313.0,275.0,10.0,58.0,25394034.0,16241796.0,15566990.0,651478.7329
2005,Cornwall,Grand Total,555,1103.0,286.0,225.0,16.0,28.0,54132374.0,43195534.0,34925913.0,2248652.0892
2005,Coventry,Grand Total,421,886.0,233.0,146.0,8.0,34.0,14944634.0,9148229.0,8833968.0,357652.4244
2005,Craftsbury,Grand Total,544,1041.0,268.0,242.0,4.0,30.0,21166383.0,13801321.0,13186553.0,602119.2164
2005,Danby,Grand Total,650,1237.0,311.0,285.0,3.0,51.0,24985476.0,15723026.0,15329897.0,659468.2420999999
2005,Danville,Grand Total,1128,2149.0,541.0,498.0,18.0,71.0,57535412.0,41131919.0,38270932.0,1945083.2331
2005,Derby,Grand Total,2267,4419.0,1045.0,994.0,29.0,199.0,93887184.0,61295989.0,59159134.0,2857530.1057
2005,Dorset,Grand Total,1076,1933.0,479.0,503.0,14.0,80.0,95907011.0,74210516.0,66974947.0,3876867.705099999
2005,Dover,Grand Total,731,1205.0,262.0,397.0,22.0,50.0,29970018.0,20610534.0,19522559.0,833710.4663999998
2005,Dummerston,Grand Total,942,1759.0,428.0,425.0,18.0,71.0,59210141.0,42198721.0,38981323.0,2052259.3691
2005,Duxbury,Grand Total,585,1160.0,295.0,255.0,7.0,28.0,27784151.0,18817744.0,18532994.0,815242.4898
2005,East Haven,Grand Total,131,260.0,61.0,52.0,2.0,16.0,4027165.0,2286174.0,2253353.0,83947.38260000001
2005,East Montpelier,Grand Total,1265,2473.0,610.0,540.0,16.0,99.0,71192141.0,50260981.0,47494475.0,2425494.2671000003
2005,Eden,Grand Total,586,1120.0,243.0,275.0,8.0,60.0,20542398.0,12741791.0,12394768.0,537579.5702999999
2005,Elmore,Grand Total,384,792.0,198.0,156.0,2.0,28.0,21779502.0,15452330.0,14885085.0,739883.3165
2005,Enosburg,Grand Total,1333,2728.0,586.0,571.0,24.0,152.0,46853328.0,28550777.0,27474950.0,1131889.4421
2005,Essex Junction,Grand Total,5664,9856.0,2045.0,3126.0,72.0,421.0,273175130.0,188699639.0,183359059.0,8760846.163999997
2005,Essex Town,Grand Total,4276,9332.0,2327.0,1641.0,31.0,277.0,298687316.0,214662569.0,210206988.0,10945539.087200005
2005,Fair Haven,Grand Total,1381,2595.0,545.0,659.0,17.0,160.0,46547757.0,28800357.0,28498135.0,1139722.8629
2005,Fairfax,Grand Total,1882,3973.0,963.0,762.0,23.0,134.0,95565987.0,64232742.0,62242991.0,2729729.4469999997
2005,Fairfield,Grand Total,871,1846.0,433.0,361.0,7.0,70.0,40144194.0,27397199.0,25839357.0,1303148.3434000004
2005,Fairlee,Grand Total,586,1021.0,228.0,301.0,15.0,42.0,26453044.0,18355092.0,17897702.0,840284.4320000001
2005,Fayston,Grand Total,570,1118.0,288.0,235.0,7.0,40.0,36258009.0,26490009.0,25246085.0,1239507.2259
2005,Ferrisburgh,Grand Total,1332,2645.0,642.0,581.0,17.0,92.0,67950460.0,46741220.0,45055322.0,2234897.9233
2005,Fletcher,Grand Total,525,1132.0,298.0,187.0,4.0,36.0,27633476.0,18400830.0,17875893.0,795249.568
2005,Franklin,Grand Total,668,1363.0,310.0,290.0,8.0,60.0,25124992.0,16000500.0,15623824.0,666848.2653999999
2005,Georgia,Grand Total,1973,4278.0,1049.0,739.0,22.0,163.0,109576523.0,76296971.0,74232085.0,3732289.5262
2005,Glover,Grand Total,508,1001.0,235.0,224.0,9.0,40.0,18650758.0,11878576.0,11541745.0,490643.0901
2005,Goshen,Grand Total,80,146.0,36.0,42.0,0.0,2.0,3595749.0,2493163.0,2396250.0,108646.0484
2005,Grafton,Grand Total,291,565.0,171.0,109.0,1.0,10.0,13275605.0,8479520.0,8192271.0,331694.2985
2005,Granby,Grand Total,20,52.0,17.0,1.0,1.0,1.0,826212.0,473705.0,471755.0,15962.407
2005,Grand Isle,Grand Total,1034,2014.0,510.0,424.0,22.0,78.0,66823660.0,46599339.0,44453150.0,2280734.0605
2005,Granville,Grand Total,154,267.0,53.0,88.0,1.0,12.0,5133968.0,3205680.0,3144348.0,135674.3786
2005,Greensboro,Grand Total,396,740.0,181.0,182.0,10.0,23.0,15461633.0,9892853.0,9491394.0,480115.4464
2005,Groton,Grand Total,459,953.0,228.0,189.0,1.0,41.0,16947206.0,10246643.0,9971245.0,430838.1677
2005,Guildhall,Grand Total,120,222.0,64.0,48.0,0.0,8.0,3744456.0,2507048.0,2449372.0,94437.742
2005,Guilford,Grand Total,1071,1972.0,466.0,506.0,19.0,80.0,50872736.0,34825915.0,33064186.0,1379430.6154999998
2005,Halifax,Grand Total,317,616.0,154.0,140.0,4.0,19.0,12809695.0,7888994.0,7669622.0,270873.2513000001
2005,Hancock,Grand Total,196,344.0,74.0,88.0,5.0,29.0,5765511.0,3286771.0,3340047.0,128234.8511
2005,Hardwick,Grand Total,1466,2855.0,603.0,683.0,13.0,167.0,44054574.0,25969842.0,25036417.0,1027070.3953000002
2005,Hartford,Grand Total,5217,9378.0,2071.0,2588.0,90.0,468.0,256835943.0,177766178.0,171876042.0,8113068.660100004
2005,Hartland,Grand Total,1693,3272.0,791.0,748.0,27.0,127.0,95795252.0,66429550.0,60584360.0,2530606.917100001
2005,Highgate,Grand Total,1544,3167.0,703.0,651.0,25.0,165.0,60492371.0,38319608.0,37651815.0,1590543.9976
2005,Hinesburg,Grand Total,2169,4207.0,983.0,1009.0,29.0,148.0,134898909.28,97615531.28,89862791.28,4020985.1478
2005,Holland,Grand Total,297,631.0,146.0,120.0,2.0,29.0,8599582.0,4833199.0,4671095.0,179730.9197
2005,Hubbardton,Grand Total,297,562.0,145.0,127.0,0.0,25.0,33454856.0,28106004.0,21291326.0,1464825.3080000004
2005,Huntington,Grand Total,928,1829.0,444.0,406.0,18.0,60.0,46878349.0,32351985.0,31281728.0,1440446.0887999998
2005,Hyde Park,Grand Total,1416,2683.0,623.0,647.0,14.0,132.0,61421962.0,41125336.0,39447374.0,1898167.8538
2005,Ira,Grand Total,184,389.0,97.0,72.0,4.0,11.0,9410952.0,6505324.0,6468698.0,271300.3496
2005,Irasburg,Grand Total,538,1130.0,284.0,207.0,7.0,40.0,18649815.0,11060374.0,10788566.0,425479.3873
2005,Isle La Motte,Grand Total,263,482.0,112.0,124.0,7.0,20.0,10529539.0,6664941.0,6385990.0,251443.3312
2005,Jamaica,Grand Total,458,890.0,193.0,215.0,6.0,44.0,18007931.0,12526568.0,11535601.0,496363.3754
2005,Jay,Grand Total,238,442.0,103.0,115.0,1.0,19.0,8289449.0,5451200.0,5248250.0,233384.44
2005,Jericho,Grand Total,2031,4052.0,971.0,912.0,22.0,126.0,121407260.0,85526709.0,83837041.0,4265554.5599
2005,Jericho ID,Grand Total,427,1092.0,296.0,102.0,3.0,26.0,32823992.0,23653314.0,23145291.0,1148307.2965
2005,Johnson,Grand Total,1363,2456.0,470.0,709.0,19.0,165.0,46329412.65,29052082.65,28115769.65,1226115.2993999994
2005,Killington,Grand Total,703,1059.0,197.0,468.0,11.0,27.0,32590168.0,22806176.0,21325252.0,985159.1086000005
2005,Kirby,Grand Total,178,364.0,91.0,69.0,4.0,14.0,8726041.0,6047319.0,5606131.0,260256.2288
2005,Landgrove,Grand Total,88,172.0,47.0,33.0,0.0,8.0,8020427.0,5586854.0,4981040.0,313693.4016
2005,Leicester,Grand Total,505,1012.0,269.0,208.0,4.0,24.0,21807055.0,14227021.0,13932483.0,676091.3559000001
2005,Lemington,Grand Total,34,62.0,15.0,17.0,0.0,2.0,959567.0,510080.0,505154.0,19063.0
2005,Lincoln,Grand Total,613,1235.0,286.0,257.0,19.0,51.0,36562928.0,26717969.0,22983266.0,1021360.9592
2005,Londonderry,Grand Total,917,1690.0,405.0,436.0,11.0,65.0,43655191.0,29089665.18,27059948.18,1338725.7971
